,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00ED8,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,whu2011314,D-Link_DIR-823Pro_5GHz,DLINK_D02A18,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00E98,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A58,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D00EB8,WHU-2018,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,DLINK_D013A8,DLINK_D02A60,D-Link_DIR-823Pro,DLINK_D02A98,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
1526452368344,-42,-43,-48,-51,-50,-51,-63,-63,-57,-69,-63,-61,-61,-87,-66,-60,-68,-65,-65,-59,-63,-64,-62,-61,-69,-75,-70,-76,-66,-72,-68,-76,-67,-200,-69,-200,-65,-81,-90,-80,-88,-80,-88,-200,-200,-86,-82,-71,-91,-78,-88,-85,-89,-84,-90,-82,-200,-84,-82,-82,-92,-89,-85,-200,-83,-82,-200,-84,-200,-200,-96,-200,-200,-200,-200,-200,-200,-92,-93,-200,-200,-97,-79,-200,-200,-200,-92,-200,-78,-85,-200,-92,-91,-88,-200,-94,-200,-80,-89,-84,-97,-200,-98,-93,-94,-200
1526452370974,-42,-42,-49,-48,-51,-52,-60,-63,-55,-64,-56,-66,-55,-87,-64,-59,-67,-66,-63,-56,-63,-65,-62,-62,-71,-74,-68,-77,-69,-76,-66,-80,-63,-200,-65,-81,-67,-80,-90,-82,-87,-79,-89,-200,-200,-87,-84,-75,-90,-79,-87,-86,-88,-84,-90,-86,-200,-84,-81,-81,-92,-87,-86,-200,-83,-83,-200,-88,-200,-200,-94,-200,-200,-200,-200,-200,-200,-91,-93,-200,-91,-98,-79,-85,-200,-200,-92,-200,-80,-85,-200,-200,-91,-89,-200,-94,-200,-81,-91,-84,-200,-200,-200,-93,-94,-200
1526452371394,-42,-42,-49,-48,-51,-52,-60,-63,-55,-64,-56,-66,-55,-87,-64,-59,-67,-66,-63,-56,-63,-65,-62,-62,-71,-74,-68,-77,-69,-76,-66,-80,-63,-200,-65,-81,-67,-80,-90,-82,-87,-79,-89,-200,-200,-87,-84,-75,-90,-79,-87,-86,-88,-84,-90,-86,-200,-84,-81,-81,-92,-87,-86,-200,-83,-83,-200,-88,-200,-200,-94,-200,-200,-200,-200,-200,-200,-91,-93,-200,-91,-98,-79,-85,-200,-200,-92,-200,-80,-85,-200,-200,-91,-89,-200,-94,-200,-81,-91,-84,-200,-200,-200,-93,-94,-200
1526452374034,-41,-44,-50,-49,-49,-52,-62,-63,-56,-69,-61,-65,-59,-87,-65,-60,-68,-64,-56,-60,-63,-65,-69,-62,-68,-72,-71,-77,-69,-79,-68,-80,-63,-200,-68,-80,-67,-81,-90,-80,-87,-79,-89,-200,-200,-86,-88,-73,-89,-79,-87,-85,-89,-85,-91,-85,-200,-88,-79,-80,-95,-90,-86,-85,-83,-81,-95,-88,-200,-200,-93,-200,-200,-93,-200,-200,-200,-96,-200,-92,-91,-95,-79,-85,-200,-88,-93,-200,-77,-85,-90,-200,-91,-84,-200,-94,-200,-81,-91,-200,-200,-200,-200,-200,-200,-200
1526452374443,-41,-44,-50,-49,-49,-52,-62,-63,-56,-69,-61,-65,-59,-87,-65,-60,-68,-64,-56,-60,-63,-65,-69,-62,-68,-72,-71,-77,-69,-79,-68,-80,-63,-200,-68,-80,-67,-81,-90,-80,-87,-79,-89,-200,-200,-86,-88,-73,-89,-79,-87,-85,-89,-85,-91,-85,-200,-88,-79,-80,-95,-90,-86,-85,-83,-81,-95,-88,-200,-200,-93,-200,-200,-93,-200,-200,-200,-96,-200,-92,-91,-95,-79,-85,-200,-88,-93,-200,-77,-85,-90,-200,-91,-84,-200,-94,-200,-81,-91,-200,-200,-200,-200,-200,-200,-200
1526452377088,-41,-43,-51,-48,-49,-51,-58,-62,-55,-67,-61,-66,-59,-87,-69,-62,-65,-61,-60,-51,-63,-66,-69,-62,-70,-57,-69,-77,-67,-72,-66,-200,-60,-200,-70,-80,-65,-81,-92,-80,-88,-74,-89,-200,-86,-86,-88,-76,-90,-79,-87,-86,-89,-83,-91,-85,-200,-87,-80,-80,-94,-90,-86,-85,-83,-80,-95,-87,-200,-200,-93,-200,-200,-93,-200,-200,-200,-96,-200,-92,-94,-95,-79,-200,-200,-88,-93,-200,-77,-200,-90,-200,-94,-84,-200,-96,-200,-80,-91,-200,-200,-200,-200,-200,-200,-200
1526452377520,-41,-43,-51,-48,-49,-51,-58,-62,-55,-67,-61,-66,-59,-87,-69,-62,-65,-61,-60,-51,-63,-66,-69,-62,-70,-57,-69,-77,-67,-72,-66,-200,-60,-200,-70,-80,-65,-81,-92,-80,-88,-74,-89,-200,-86,-86,-88,-76,-90,-79,-87,-86,-89,-83,-91,-85,-200,-87,-80,-80,-94,-90,-86,-85,-83,-80,-95,-87,-200,-200,-93,-200,-200,-93,-200,-200,-200,-96,-200,-92,-94,-95,-79,-200,-200,-88,-93,-200,-77,-200,-90,-200,-94,-84,-200,-96,-200,-80,-91,-200,-200,-200,-200,-200,-200,-200
1526452380124,-43,-43,-49,-49,-45,-51,-61,-61,-54,-65,-62,-64,-58,-89,-64,-66,-65,-62,-63,-61,-62,-62,-63,-62,-68,-55,-68,-75,-68,-78,-73,-79,-60,-200,-69,-80,-65,-81,-92,-81,-89,-79,-200,-200,-86,-89,-86,-76,-90,-200,-83,-85,-89,-81,-200,-83,-200,-87,-81,-80,-90,-87,-86,-200,-83,-85,-95,-86,-200,-92,-93,-200,-200,-93,-200,-200,-200,-200,-200,-200,-94,-95,-73,-200,-200,-86,-91,-200,-77,-200,-200,-90,-92,-84,-200,-96,-200,-80,-200,-200,-200,-200,-200,-200,-200,-90
1526452380568,-43,-43,-49,-49,-45,-51,-61,-61,-54,-65,-62,-64,-58,-89,-64,-66,-65,-62,-63,-61,-62,-62,-63,-62,-68,-55,-68,-75,-68,-78,-73,-79,-60,-200,-69,-80,-65,-81,-92,-81,-89,-79,-200,-200,-86,-89,-86,-76,-90,-200,-83,-85,-89,-81,-200,-83,-200,-87,-81,-80,-90,-87,-86,-200,-83,-85,-95,-86,-200,-92,-93,-200,-200,-93,-200,-200,-200,-200,-200,-200,-94,-95,-73,-200,-200,-86,-91,-200,-77,-200,-200,-90,-92,-84,-200,-96,-200,-80,-200,-200,-200,-200,-200,-200,-200,-90
1526452383179,-40,-44,-49,-47,-49,-54,-63,-63,-52,-72,-58,-61,-58,-87,-67,-59,-64,-65,-61,-58,-65,-66,-61,-66,-67,-74,-64,-78,-66,-69,-73,-79,-64,-200,-69,-200,-67,-78,-92,-81,-88,-78,-89,-200,-200,-91,-86,-200,-90,-200,-84,-84,-85,-81,-82,-85,-200,-84,-82,-79,-89,-90,-85,-88,-84,-78,-200,-86,-200,-92,-93,-200,-200,-94,-200,-200,-200,-94,-200,-95,-94,-200,-73,-200,-200,-86,-91,-200,-76,-200,-200,-90,-91,-200,-90,-96,-73,-80,-200,-200,-200,-200,-200,-200,-200,-90
1526452383631,-40,-44,-49,-47,-49,-54,-63,-63,-52,-72,-58,-61,-58,-87,-67,-59,-64,-65,-61,-58,-65,-66,-61,-66,-67,-74,-64,-78,-66,-69,-73,-79,-64,-200,-69,-200,-67,-78,-92,-81,-88,-78,-89,-200,-200,-91,-86,-200,-90,-200,-84,-84,-85,-81,-82,-85,-200,-84,-82,-79,-89,-90,-85,-88,-84,-78,-200,-86,-200,-92,-93,-200,-200,-94,-200,-200,-200,-94,-200,-95,-94,-200,-73,-200,-200,-86,-91,-200,-76,-200,-200,-90,-91,-200,-90,-96,-73,-80,-200,-200,-200,-200,-200,-200,-200,-90
1526452386233,-40,-43,-50,-52,-51,-53,-64,-64,-56,-75,-61,-66,-57,-86,-63,-63,-68,-62,-60,-61,-62,-61,-62,-64,-73,-56,-64,-76,-66,-58,-68,-81,-65,-200,-69,-200,-64,-81,-91,-75,-90,-77,-89,-200,-200,-86,-86,-73,-90,-200,-88,-88,-91,-79,-82,-83,-200,-85,-81,-80,-91,-88,-85,-88,-83,-89,-200,-80,-200,-92,-93,-200,-200,-94,-200,-200,-200,-94,-91,-97,-200,-200,-73,-80,-200,-200,-94,-200,-77,-87,-200,-200,-91,-200,-90,-200,-75,-81,-88,-200,-200,-200,-200,-92,-200,-90
1526452386678,-40,-43,-50,-52,-51,-53,-64,-64,-56,-75,-61,-66,-57,-86,-63,-63,-68,-62,-60,-61,-62,-61,-62,-64,-73,-56,-64,-76,-66,-58,-68,-81,-65,-200,-69,-200,-64,-81,-91,-75,-90,-77,-89,-200,-200,-86,-86,-73,-90,-200,-88,-88,-91,-79,-82,-83,-200,-85,-81,-80,-91,-88,-85,-88,-83,-89,-200,-80,-200,-92,-93,-200,-200,-94,-200,-200,-200,-94,-91,-97,-200,-200,-73,-80,-200,-200,-94,-200,-77,-87,-200,-200,-91,-200,-90,-200,-75,-81,-88,-200,-200,-200,-200,-92,-200,-90
