,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A18,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A48,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A58,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00EB8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,whu2011314,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A30,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A20,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A88,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro,WHU-2018,DLINK_D00E98,D-Link_DIR-823Pro
1526464146432,-25,-27,-33,-36,-43,-47,-45,-44,-48,-42,-42,-44,-50,-54,-55,-60,-53,-56,-58,-51,-200,-59,-55,-61,-60,-61,-61,-56,-61,-61,-61,-61,-64,-66,-55,-65,-63,-62,-63,-66,-66,-65,-62,-200,-68,-71,-83,-200,-69,-70,-79,-75,-77,-200,-65,-73,-82,-82,-64,-77,-75,-78,-74,-79,-80,-73,-85,-83,-70,-86,-200,-200,-70,-59,-85,-200,-90,-85,-200,-200,-74,-200,-66,-75,-86,-200,-200,-66,-67,-200,-84,-200,-200,-200,-200,-200,-70,-200,-200,-84,-80,-67,-200
1526464146708,-25,-27,-33,-36,-43,-47,-45,-44,-48,-42,-42,-44,-50,-54,-55,-60,-53,-56,-58,-51,-200,-59,-55,-61,-60,-61,-61,-56,-61,-61,-61,-61,-64,-66,-55,-65,-63,-62,-63,-66,-66,-65,-62,-200,-68,-71,-83,-200,-69,-70,-79,-75,-77,-200,-65,-73,-82,-82,-64,-77,-75,-78,-74,-79,-80,-73,-85,-83,-70,-86,-200,-200,-70,-59,-85,-200,-90,-85,-200,-200,-74,-200,-66,-75,-86,-200,-200,-66,-67,-200,-84,-200,-200,-200,-200,-200,-70,-200,-200,-84,-80,-67,-200
1526464149499,-29,-24,-35,-34,-47,-39,-45,-44,-48,-43,-42,-45,-49,-54,-55,-59,-53,-56,-58,-54,-200,-59,-55,-59,-63,-61,-61,-59,-61,-62,-61,-61,-64,-66,-55,-65,-63,-62,-63,-71,-64,-66,-62,-200,-70,-71,-75,-200,-69,-79,-79,-71,-77,-200,-68,-73,-82,-82,-64,-78,-75,-79,-74,-79,-80,-73,-85,-83,-70,-200,-200,-200,-70,-70,-200,-200,-90,-86,-200,-92,-74,-200,-66,-75,-200,-200,-200,-66,-67,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-68,-200
1526464149779,-29,-24,-35,-34,-47,-39,-45,-44,-48,-43,-42,-45,-49,-54,-55,-59,-53,-56,-58,-54,-200,-59,-55,-59,-63,-61,-61,-59,-61,-62,-61,-61,-64,-66,-55,-65,-63,-62,-63,-71,-64,-66,-62,-200,-70,-71,-75,-200,-69,-79,-79,-71,-77,-200,-68,-73,-82,-82,-64,-78,-75,-79,-74,-79,-80,-73,-85,-83,-70,-200,-200,-200,-70,-70,-200,-200,-90,-86,-200,-92,-74,-200,-66,-75,-200,-200,-200,-66,-67,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-68,-200
1526464152515,-25,-23,-35,-34,-47,-43,-45,-44,-50,-43,-42,-52,-49,-54,-53,-58,-55,-56,-58,-51,-71,-59,-55,-59,-63,-61,-60,-54,-61,-62,-61,-61,-64,-66,-57,-64,-62,-62,-63,-71,-64,-66,-62,-200,-70,-71,-75,-200,-69,-79,-75,-71,-79,-200,-68,-73,-200,-82,-67,-78,-200,-79,-74,-75,-80,-73,-85,-81,-73,-200,-200,-200,-70,-61,-83,-200,-91,-86,-200,-92,-77,-200,-65,-75,-200,-200,-200,-68,-67,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-67,-200
1526464152840,-25,-23,-35,-34,-47,-43,-45,-44,-50,-43,-42,-52,-49,-54,-53,-58,-55,-56,-58,-51,-71,-59,-55,-59,-63,-61,-60,-54,-61,-62,-61,-61,-64,-66,-57,-64,-62,-62,-63,-71,-64,-66,-62,-200,-70,-71,-75,-200,-69,-79,-75,-71,-79,-200,-68,-73,-200,-82,-67,-78,-200,-79,-74,-75,-80,-73,-85,-81,-73,-200,-200,-200,-70,-61,-83,-200,-91,-86,-200,-92,-77,-200,-65,-75,-200,-200,-200,-68,-67,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-67,-200
1526464155588,-25,-23,-33,-34,-47,-41,-45,-45,-50,-41,-47,-52,-49,-54,-64,-59,-55,-56,-55,-51,-71,-200,-55,-59,-63,-62,-60,-55,-62,-62,-61,-59,-64,-66,-57,-64,-62,-60,-63,-73,-64,-66,-62,-200,-70,-73,-75,-200,-69,-71,-75,-71,-79,-200,-68,-73,-200,-200,-67,-78,-200,-80,-200,-75,-79,-73,-85,-81,-73,-200,-200,-200,-70,-61,-83,-200,-91,-86,-200,-92,-77,-200,-65,-75,-200,-81,-200,-68,-67,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-67,-200
1526464155901,-25,-23,-33,-34,-47,-41,-45,-45,-50,-41,-47,-52,-49,-54,-64,-59,-55,-56,-55,-51,-71,-200,-55,-59,-63,-62,-60,-55,-62,-62,-61,-59,-64,-66,-57,-64,-62,-60,-63,-73,-64,-66,-62,-200,-70,-73,-75,-200,-69,-71,-75,-71,-79,-200,-68,-73,-200,-200,-67,-78,-200,-80,-200,-75,-79,-73,-85,-81,-73,-200,-200,-200,-70,-61,-83,-200,-91,-86,-200,-92,-77,-200,-65,-75,-200,-81,-200,-68,-67,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-67,-200
1526464158639,-29,-27,-36,-32,-47,-46,-45,-44,-50,-44,-46,-53,-50,-56,-56,-59,-52,-56,-57,-62,-71,-61,-50,-60,-63,-61,-63,-55,-62,-62,-58,-62,-64,-65,-57,-65,-65,-61,-63,-73,-64,-66,-62,-200,-71,-73,-75,-200,-70,-69,-85,-71,-79,-73,-68,-74,-79,-76,-69,-78,-76,-80,-200,-75,-79,-73,-85,-81,-73,-200,-200,-200,-70,-61,-83,-200,-91,-86,-200,-92,-77,-200,-65,-200,-200,-81,-200,-68,-69,-200,-200,-200,-200,-92,-200,-200,-200,-200,-71,-200,-200,-67,-200
1526464158963,-29,-27,-36,-32,-47,-46,-45,-44,-50,-44,-46,-53,-50,-56,-56,-59,-52,-56,-57,-62,-71,-61,-50,-60,-63,-61,-63,-55,-62,-62,-58,-62,-64,-65,-57,-65,-65,-61,-63,-73,-64,-66,-62,-200,-71,-73,-75,-200,-70,-69,-85,-71,-79,-73,-68,-74,-79,-76,-69,-78,-76,-80,-200,-75,-79,-73,-85,-81,-73,-200,-200,-200,-70,-61,-83,-200,-91,-86,-200,-92,-77,-200,-65,-200,-200,-81,-200,-68,-69,-200,-200,-200,-200,-92,-200,-200,-200,-200,-71,-200,-200,-67,-200
1526464161711,-29,-26,-37,-35,-47,-46,-45,-42,-53,-43,-43,-53,-50,-56,-56,-59,-52,-56,-58,-52,-71,-58,-54,-60,-60,-61,-63,-55,-62,-63,-57,-61,-63,-64,-57,-62,-64,-61,-63,-73,-64,-66,-62,-200,-71,-73,-75,-200,-65,-69,-85,-70,-79,-73,-75,-74,-79,-76,-69,-77,-76,-79,-200,-75,-77,-200,-200,-81,-73,-87,-85,-200,-200,-63,-83,-200,-91,-87,-200,-92,-77,-200,-65,-200,-200,-82,-200,-66,-69,-200,-200,-200,-200,-92,-200,-200,-200,-200,-71,-200,-200,-67,-77
1526464162033,-29,-26,-37,-35,-47,-46,-45,-42,-53,-43,-43,-53,-50,-56,-56,-59,-52,-56,-58,-52,-71,-58,-54,-60,-60,-61,-63,-55,-62,-63,-57,-61,-63,-64,-57,-62,-64,-61,-63,-73,-64,-66,-62,-200,-71,-73,-75,-200,-65,-69,-85,-70,-79,-73,-75,-74,-79,-76,-69,-77,-76,-79,-200,-75,-77,-200,-200,-81,-73,-87,-85,-200,-200,-63,-83,-200,-91,-87,-200,-92,-77,-200,-65,-200,-200,-82,-200,-66,-69,-200,-200,-200,-200,-92,-200,-200,-200,-200,-71,-200,-200,-67,-77
