,D-Link_DIR-823Pro,DLINK_D02A48,WHU-2018,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A38,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00ED8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A88,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A60,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
1526458863843,-36,-34,-64,-51,-51,-40,-67,-53,-43,-72,-56,-55,-83,-58,-60,-76,-65,-65,-62,-200,-60,-69,-63,-80,-80,-83,-66,-84,-78,-63,-63,-82,-82,-86,-76,-84,-53,-93,-91,-91,-83,-76,-83,-200,-76,-91,-86,-200,-200,-76,-78,-89,-82,-82,-91,-78,-90,-200,-85,-200,-91,-79,-93,-82,-85,-90,-88,-200,-84,-89,-84,-90,-96,-94,-85,-91,-200,-97,-92,-200,-65,-200,-200,-92,-200,-97,-200,-200,-93,-93,-200,-90,-200,-200,-200,-200,-88,-200,-200,-200,-94,-97,-84,-88,-200,-98,-95,-200,-200,-200
1526458866578,-39,-33,-64,-50,-52,-44,-60,-54,-49,-73,-53,-54,-82,-54,-60,-76,-66,-70,-62,-200,-65,-69,-62,-79,-79,-82,-66,-85,-79,-64,-61,-81,-77,-83,-77,-84,-53,-91,-89,-90,-87,-76,-83,-200,-73,-91,-85,-200,-200,-75,-78,-89,-81,-79,-91,-77,-90,-200,-88,-200,-91,-79,-93,-83,-87,-92,-86,-200,-84,-88,-85,-90,-200,-93,-87,-90,-200,-97,-90,-200,-63,-81,-200,-91,-200,-97,-200,-200,-92,-95,-200,-90,-200,-200,-200,-200,-90,-200,-200,-200,-94,-96,-200,-200,-200,-98,-200,-200,-200,-200
1526458866879,-39,-33,-64,-50,-52,-44,-60,-54,-49,-73,-53,-54,-82,-54,-60,-76,-66,-70,-62,-200,-65,-69,-62,-79,-79,-82,-66,-85,-79,-64,-61,-81,-77,-83,-77,-84,-53,-91,-89,-90,-87,-76,-83,-200,-73,-91,-85,-200,-200,-75,-78,-89,-81,-79,-91,-77,-90,-200,-88,-200,-91,-79,-93,-83,-87,-92,-86,-200,-84,-88,-85,-90,-200,-93,-87,-90,-200,-97,-90,-200,-63,-81,-200,-91,-200,-97,-200,-200,-92,-95,-200,-90,-200,-200,-200,-200,-90,-200,-200,-200,-94,-96,-200,-200,-200,-98,-200,-200,-200,-200
1526458869632,-40,-35,-65,-49,-52,-43,-60,-61,-44,-71,-55,-57,-82,-58,-65,-76,-66,-67,-63,-200,-66,-68,-64,-79,-78,-82,-72,-83,-77,-64,-63,-81,-80,-86,-78,-85,-53,-91,-89,-89,-82,-75,-82,-200,-72,-88,-86,-200,-200,-71,-78,-89,-79,-79,-91,-77,-92,-200,-88,-200,-90,-81,-90,-82,-88,-91,-88,-200,-200,-87,-86,-90,-95,-93,-85,-90,-200,-97,-92,-200,-63,-81,-200,-96,-200,-200,-200,-200,-91,-93,-200,-200,-200,-200,-200,-200,-88,-200,-200,-98,-94,-96,-84,-200,-200,-97,-200,-200,-200,-200
1526458869933,-40,-35,-65,-49,-52,-43,-60,-61,-44,-71,-55,-57,-82,-58,-65,-76,-66,-67,-63,-200,-66,-68,-64,-79,-78,-82,-72,-83,-77,-64,-63,-81,-80,-86,-78,-85,-53,-91,-89,-89,-82,-75,-82,-200,-72,-88,-86,-200,-200,-71,-78,-89,-79,-79,-91,-77,-92,-200,-88,-200,-90,-81,-90,-82,-88,-91,-88,-200,-200,-87,-86,-90,-95,-93,-85,-90,-200,-97,-92,-200,-63,-81,-200,-96,-200,-200,-200,-200,-91,-93,-200,-200,-200,-200,-200,-200,-88,-200,-200,-98,-94,-96,-84,-200,-200,-97,-200,-200,-200,-200
1526458872679,-38,-33,-59,-49,-52,-42,-59,-48,-49,-72,-53,-57,-82,-55,-61,-76,-65,-69,-69,-200,-66,-67,-61,-79,-80,-83,-66,-83,-78,-65,-62,-82,-79,-84,-75,-83,-54,-91,-94,-91,-83,-76,-82,-200,-72,-88,-87,-200,-97,-75,-79,-87,-79,-82,-200,-77,-91,-200,-200,-90,-94,-79,-94,-82,-87,-91,-87,-200,-200,-88,-83,-83,-95,-93,-84,-90,-200,-96,-92,-200,-59,-200,-200,-96,-96,-200,-200,-200,-95,-92,-200,-200,-200,-200,-200,-200,-89,-200,-200,-74,-93,-95,-84,-200,-200,-97,-200,-200,-200,-200
1526458873000,-38,-33,-59,-49,-52,-42,-59,-48,-49,-72,-53,-57,-82,-55,-61,-76,-65,-69,-69,-200,-66,-67,-61,-79,-80,-83,-66,-83,-78,-65,-62,-82,-79,-84,-75,-83,-54,-91,-94,-91,-83,-76,-82,-200,-72,-88,-87,-200,-97,-75,-79,-87,-79,-82,-200,-77,-91,-200,-200,-90,-94,-79,-94,-82,-87,-91,-87,-200,-200,-88,-83,-83,-95,-93,-84,-90,-200,-96,-92,-200,-59,-200,-200,-96,-96,-200,-200,-200,-95,-92,-200,-200,-200,-200,-200,-200,-89,-200,-200,-74,-93,-95,-84,-200,-200,-97,-200,-200,-200,-200
1526458875728,-36,-33,-66,-47,-51,-44,-62,-58,-49,-74,-54,-54,-200,-59,-66,-69,-60,-70,-68,-79,-62,-69,-63,-78,-80,-81,-72,-83,-78,-63,-62,-81,-79,-84,-77,-86,-52,-92,-89,-90,-83,-77,-82,-200,-73,-89,-87,-200,-98,-74,-80,-88,-78,-77,-88,-79,-93,-200,-200,-90,-72,-78,-91,-82,-86,-91,-87,-200,-83,-91,-85,-83,-95,-92,-86,-89,-200,-94,-92,-200,-59,-88,-200,-96,-96,-200,-74,-200,-91,-92,-200,-200,-200,-200,-200,-200,-89,-200,-200,-74,-95,-94,-200,-200,-200,-200,-200,-200,-200,-200
1526458876046,-36,-33,-66,-47,-51,-44,-62,-58,-49,-74,-54,-54,-200,-59,-66,-69,-60,-70,-68,-79,-62,-69,-63,-78,-80,-81,-72,-83,-78,-63,-62,-81,-79,-84,-77,-86,-52,-92,-89,-90,-83,-77,-82,-200,-73,-89,-87,-200,-98,-74,-80,-88,-78,-77,-88,-79,-93,-200,-200,-90,-72,-78,-91,-82,-86,-91,-87,-200,-83,-91,-85,-83,-95,-92,-86,-89,-200,-94,-92,-200,-59,-88,-200,-96,-96,-200,-74,-200,-91,-92,-200,-200,-200,-200,-200,-200,-89,-200,-200,-74,-95,-94,-200,-200,-200,-200,-200,-200,-200,-200
1526458878777,-39,-34,-63,-47,-52,-42,-63,-60,-48,-72,-53,-56,-200,-55,-63,-75,-62,-67,-70,-79,-59,-71,-64,-79,-81,-84,-66,-83,-77,-64,-62,-81,-77,-85,-76,-83,-56,-92,-89,-81,-81,-76,-85,-200,-78,-90,-87,-200,-96,-75,-78,-88,-78,-77,-91,-76,-93,-200,-84,-200,-90,-81,-91,-82,-86,-94,-91,-200,-83,-89,-84,-89,-94,-93,-84,-89,-96,-94,-92,-200,-62,-88,-90,-200,-96,-200,-74,-200,-94,-92,-200,-200,-200,-200,-200,-200,-87,-92,-98,-74,-94,-96,-200,-200,-200,-200,-200,-200,-95,-200
1526458879100,-39,-34,-63,-47,-52,-42,-63,-60,-48,-72,-53,-56,-200,-55,-63,-75,-62,-67,-70,-79,-59,-71,-64,-79,-81,-84,-66,-83,-77,-64,-62,-81,-77,-85,-76,-83,-56,-92,-89,-81,-81,-76,-85,-200,-78,-90,-87,-200,-96,-75,-78,-88,-78,-77,-91,-76,-93,-200,-84,-200,-90,-81,-91,-82,-86,-94,-91,-200,-83,-89,-84,-89,-94,-93,-84,-89,-96,-94,-92,-200,-62,-88,-90,-200,-96,-200,-74,-200,-94,-92,-200,-200,-200,-200,-200,-200,-87,-92,-98,-74,-94,-96,-200,-200,-200,-200,-200,-200,-95,-200
1526458881837,-39,-34,-62,-49,-53,-45,-59,-59,-49,-70,-55,-56,-83,-56,-63,-77,-65,-68,-64,-79,-56,-69,-65,-79,-80,-83,-68,-82,-77,-64,-55,-81,-76,-86,-60,-84,-52,-92,-92,-91,-82,-76,-83,-200,-70,-88,-86,-200,-96,-75,-79,-88,-81,-77,-91,-77,-92,-96,-84,-200,-91,-79,-91,-83,-87,-91,-86,-200,-83,-89,-85,-90,-97,-93,-85,-91,-96,-97,-92,-200,-63,-88,-90,-200,-200,-200,-200,-200,-94,-96,-96,-200,-200,-200,-200,-200,-87,-92,-98,-200,-96,-97,-87,-200,-200,-95,-200,-200,-95,-93
1526458882160,-39,-34,-62,-49,-53,-45,-59,-59,-49,-70,-55,-56,-83,-56,-63,-77,-65,-68,-64,-79,-56,-69,-65,-79,-80,-83,-68,-82,-77,-64,-55,-81,-76,-86,-60,-84,-52,-92,-92,-91,-82,-76,-83,-200,-70,-88,-86,-200,-96,-75,-79,-88,-81,-77,-91,-77,-92,-96,-84,-200,-91,-79,-91,-83,-87,-91,-86,-200,-83,-89,-85,-90,-97,-93,-85,-91,-96,-97,-92,-200,-63,-88,-90,-200,-200,-200,-200,-200,-94,-96,-96,-200,-200,-200,-200,-200,-87,-92,-98,-200,-96,-97,-87,-200,-200,-95,-200,-200,-95,-93
1526458884892,-37,-34,-62,-49,-50,-44,-64,-58,-48,-72,-56,-58,-77,-57,-63,-76,-67,-65,-69,-200,-60,-69,-65,-79,-80,-83,-68,-83,-77,-65,-60,-80,-78,-83,-76,-68,-52,-96,-91,-89,-84,-76,-83,-200,-80,-88,-86,-200,-96,-74,-80,-86,-79,-77,-91,-76,-92,-96,-200,-200,-91,-80,-91,-82,-88,-90,-89,-200,-83,-88,-85,-91,-95,-94,-86,-89,-97,-96,-89,-200,-61,-200,-200,-94,-200,-200,-200,-200,-94,-94,-96,-200,-200,-200,-200,-200,-89,-200,-98,-200,-96,-97,-87,-200,-200,-95,-200,-200,-200,-93
1526458885208,-37,-34,-62,-49,-50,-44,-64,-58,-48,-72,-56,-58,-77,-57,-63,-76,-67,-65,-69,-200,-60,-69,-65,-79,-80,-83,-68,-83,-77,-65,-60,-80,-78,-83,-76,-68,-52,-96,-91,-89,-84,-76,-83,-200,-80,-88,-86,-200,-96,-74,-80,-86,-79,-77,-91,-76,-92,-96,-200,-200,-91,-80,-91,-82,-88,-90,-89,-200,-83,-88,-85,-91,-95,-94,-86,-89,-97,-96,-89,-200,-61,-200,-200,-94,-200,-200,-200,-200,-94,-94,-96,-200,-200,-200,-200,-200,-89,-200,-98,-200,-96,-97,-87,-200,-200,-95,-200,-200,-200,-93
